"","Tauro-a-Muricholic acid","Tauroursodeoxycholic acid","Taurocholic acid","Glycoursodeoxycholic acid","Glycohyodeoxycholic acid","Glycocholic acid","Taurochenodeoxycholic acid","Taurodeoxycholic acid","Cholic acid","Ursodeoxycholic acid","Glycochenodeoxycholic acid","Glycodeoxycholic acid","Taurolithocholic acid","Chenodeoxycholic acid","Deoxycholic acid","Glycolithocholic acid","Lithocholic acid","Tyrosocholic acid","Phenylalanocholic acid","Leucholic acid","Ala-triHydroxylated BA","Arg-dihydroxylated BA","Arg-triHydroxylated BA","Asn-dihydroxylated BA 1","Asn-dihydroxylated BA 2","Asn-triHydroxylated BA","Cys-dihydroxylated BA","Cys-triHydroxylated BA","Gln-dihydroxylated BA","Gln-triHydroxylated BA","Glu-dihydroxylated BA","Glu-triHydroxylated BA","His-triHydroxylated BA","Lys-dihydroxylated BA","Lys-triHydroxylated BA","Met-triHydroxylated BA","Phe-dihydroxylated BA","Ser-dihydroxylated BA","Ser-triHydroxylated BA","Trp-triHydroxylated BA","Tyr-dihydroxylated BA"
"94",509.35,509.63,189615.5,578,126.34,12593.91,5600.91,27977.27,848938.56,29501.32,15600.45,3439.36,810.54,525175.82,138358.14,156.36,1062.71,657.84,272.41,0.94,92.34,2639.88,277.7,729.31,34.5,1128.02,33.69,64.45,91.42,4.26,29.5,5.17,28.3,472.59,293.71,5.27,47.7,572.56,401.24,42.09,187.42
"95",463.62,1069.16,55408.5,858.56,64.08,17267.74,12595.03,18865.26,1026249.52,36224.08,29152.62,5317.62,2252.53,742333.55,203722.17,110.77,2604.34,1213.57,481.18,13.41,146.72,783.82,228.12,778.09,85.8,1299.33,9.15,73.37,608.9,77.6,325.7,82.68,93.6,521.07,1255.78,60.38,125.81,1056.75,1164.11,94.43,452.97
"96",251.43,846.2,12981.78,735.01,34.22,12134.47,9758.5,3110.2,1029212.45,31626.06,23819.22,3969.12,490.03,602366.9,165672.95,55.51,1570.32,520.01,189.82,0.9,30.73,255.33,109.2,409.97,122.56,428.87,34.52,17.75,1208.54,100.21,556.62,33.56,7.07,228.1,317.22,48.94,12.66,396.38,295.72,8.38,193.92
"97",490.4,1532.77,21313.31,467.97,29.34,5841.56,4569.82,5311.56,567443.96,25799.23,9983.69,2041.07,316.62,304668.26,92442.63,22.59,1400.21,288.27,135.23,10.17,142.59,120.41,113.69,206.62,14.74,483.39,7.24,0.01,417.56,62.99,341.08,63.75,11.99,209.53,264.03,35.35,19.77,324.12,417.43,19.13,155.92
"98",199.89,8835.03,229997.03,22584.07,22.72,417194,148085.04,42359.6,15833.69,85.19,481401.79,83721.26,1229.31,4131.81,1049.92,28.06,5613.24,0.61,0.39,5.13,18.23,0,0,13.19,0.01,36.77,10.92,20.42,0,0.01,0,0.01,0.01,0.01,0,0.01,0.01,146.18,151.74,0.01,0.01
"99",364.99,8682.65,118512.6,1265.17,24.42,13307.12,66242.8,35747.83,702981.04,20115.73,20773.19,5072.4,3570.83,365195.71,110539.22,48.42,385.02,853.23,501.04,98.81,33.98,371.94,205.82,199.88,11.54,459.97,1535.39,36.78,90.2,83.84,157.68,82.37,70.94,345.7,1014.45,21.69,84.53,469.78,515.83,0.01,368.2
"100",994.38,56258.03,743407.7,3630.44,16.32,367994.25,586053.56,110106.65,1091342.78,38149.28,108141.75,32756.71,9928.99,721071.72,269367.18,77.87,1272.07,2866.08,1322.93,513.4,428.57,437.47,740.52,568.9,111.18,1070.84,167.81,161.39,240.42,40.84,29.66,16.04,268.17,2128.87,1605.13,105.87,324.25,1573.5,1558.98,159.06,1039.38
"102",450.16,10479.16,461444.1,3556.57,53.11,149044.13,202481.72,104495.47,676420.07,18687.97,67085.52,23278.71,4952.87,525724.22,125369.33,135.17,708.58,1148.71,317.51,5.53,125.69,5925.08,2132.23,631.69,48.6,724.17,47.9,80.93,177.23,0.01,51.67,0.01,4.81,221.63,294.61,0.01,43.87,701.65,573.31,165.9,390.43
"103",612.33,13720.28,566656.69,10123.28,99.82,214771.35,335256.11,136575.6,1125486.22,32777.15,312756.6,45079.5,6922.19,865997.48,241237.88,205.5,665.51,2259.16,568.42,79.79,192.53,716.17,641.65,564.87,28.23,633.12,63.86,61.77,93.95,0.01,14.15,0.01,71.01,615.8,650.69,6.6,115.65,914.97,812.97,166.77,671.32
"104",636.93,10576.3,209574.45,896.06,50.13,10104.98,49377.49,47846.42,877175.12,28756.93,21981.89,3935.76,2826.38,590632.2,166913.48,55.64,1421.07,2430.97,696.89,127.9,266.2,251.69,945.33,287.51,63.1,676.32,17.99,39.45,734.38,89.69,510.81,104.58,220.4,918.56,1749.55,12.05,48.5,730.24,712.72,24.43,721.16
"105",168.95,2138.94,40841.21,607.67,17.35,7250.98,10573.45,5819.83,96020.53,4724.64,642.05,581.25,89.87,34647.04,18042.8,5.99,526.69,32.03,0.56,4.8,8.21,0,0,10.26,0.01,84.56,6.94,0.01,0,0.01,0,0.01,0.01,0.01,0,0.01,0.01,22.88,77.02,0.01,10.48
"106",71.33,0,375.35,82.9,3.46,925.08,7.02,17.1,24669.55,390.15,52.44,40.98,0.01,912.87,1153.42,0.01,0.09,43.43,0.41,0.03,0.01,0,0,0.01,0.01,26.22,222.61,0.01,0,0.01,0,0.01,0.01,0.01,20.17,0.01,0.01,0,29.88,0.01,0.01
"107",0.22,6.49,49.03,2.78,0.01,71.09,7.1,4.03,33578.04,921.66,10.65,22.99,3.66,3557.02,5673.15,0.02,0.08,0.03,0.05,0.12,0.01,0,0,0.01,0.01,8.96,3893.91,0.01,0,0.01,6.13,0.01,0.01,0.01,0,0.01,0.01,0,0,0.01,0.01
"108",154.16,22.91,8831.51,51.67,0.11,1406.86,161.7,1760.03,253729.53,4229.22,602.65,323.68,4.83,52051.81,43482.15,0.49,0.02,900.28,899.62,195.17,217.46,122.4,390.8,37.64,76.03,264.04,3415.41,0.01,60.51,0.01,92.24,6.9,30.25,259.81,596.89,9.37,13.54,425.88,1647.75,154.36,116.02
"109",2.94,65.05,4789.9,94.43,0.01,4732.94,1439.42,1009.52,75.23,23.8,963.06,395.74,6.8,18.11,1.31,0,263.57,0.03,0.5,0.39,0.01,0,0,0.01,0.01,0,61.05,0.01,0,0.01,0,0.01,0.01,0.01,0,0.01,0.01,0,0,0.01,0.01
"110",136.62,1564.1,68811.63,1000.61,3,54900.88,23099.48,11620.85,185.32,154.51,10658.01,2818.31,405.48,2089.48,10.93,4.22,0.07,0.26,0.95,0.73,0.01,0,0,0.01,0.01,0,385.66,0.01,0,0.01,0,0.01,0.01,0.01,0,0.01,0.01,0,25.54,0.01,0.01
"111",1050.53,4468.44,544048.74,332.04,1.68,49562.83,70672.85,96850.22,559840.91,8716.4,3874.49,2608.55,2656.8,104209.79,57309.62,8.61,446.9,289.75,127.74,36.41,297.98,415.18,265.18,78.49,45.68,245.65,15.66,0.01,30.38,0.01,0,0.01,0.01,7.82,70.51,6.23,0.01,421.1,1277.2,0.01,86.65
"112",166.25,1694.97,84795.62,761.98,3.11,46197.6,25196.55,13664.33,3317.1,93.39,6889.3,2304.17,158,1218.67,1145.42,1.21,2344.09,0.4,0.61,0.85,0.01,0,0,0.01,0.01,0,1.97,0.01,0,0.01,0,0.01,0.01,0.01,0,0.01,0.01,0,46.09,0.01,0.01
"113",835.88,7416.57,569665.46,2508.04,3.2,278950.67,128503.96,75731.15,350.79,90.39,45706.91,20546.73,1527.55,83.69,12.77,12.37,11405.66,0.8,0.83,0.82,14.23,0,0,0.01,0.01,0,139.19,0.01,0,0.01,0,0.01,0.01,0.01,0,0.01,0.01,13.03,274.01,0.01,0.01
"114",69.45,42.19,2889.28,64.13,0.82,1892.71,192.9,229.39,391251.81,5678.84,561.89,324.03,9.77,41484.83,43506.74,0.1,9032.78,513.71,494.04,417.52,25.5,173.28,63.08,0.01,5.14,46.63,4655.06,0.01,112.75,70.54,22.41,0.01,22.32,62.6,102.95,6.75,0.01,115.79,346,176.35,69.79
"115",431.48,197.77,34595.37,612.25,138.71,1750.79,410.3,3006.1,255450.53,498.06,762.63,570.56,288.21,26987.34,26518.59,47.25,0.01,46.42,6.84,0.59,4.8,0,0,95.63,6.68,128.06,27.76,105.32,0,0.01,6.74,0.01,0.01,0.01,0,0.01,0.01,172.16,218.19,0.01,0.01
"116",0.28,0.03,53.06,39.37,66.19,1809.62,4.62,5.82,741098.03,4184.91,1671.34,1005.92,0.04,193172.13,175334.76,14.83,1265.01,1599.19,946.96,14.02,0.01,266.89,14.56,225.58,47.53,320.32,86.04,27.61,16.06,6.1,209.18,78.42,172.54,803.62,1601.91,8.89,305.67,297.52,427.48,48.31,587.17
"117",2.11,0.05,6162.67,207.18,0.02,12013.29,2868.29,796.52,200440.17,7663.9,12409.92,3070.11,1.27,30189.69,52806.27,3.81,0.05,124.74,251.04,12.77,23.28,0,0,0.01,31.91,7.06,0.01,0.01,8.46,0.01,436.87,178.89,34.9,145.14,174.37,16.16,5,0,0,10.2,51.21
"118",0.61,0.93,279.98,8.73,1.02,558.95,15.33,16.13,154632.41,417.98,35.22,54.99,2.35,3342.1,7527.94,0.04,157.1,505.15,273.94,222.06,5.94,120.05,122.42,0.01,49.94,26.04,20.48,0.01,175.16,214.28,133.77,195.92,110.25,73.28,165.59,0.01,8.12,89.48,0,23.73,36.12
"119",4.48,3.33,713.64,41.73,85.92,4099.03,271.94,249.77,445251.96,749.58,2228.67,1518.71,5.23,45190.84,48704.69,6.32,234.71,292.07,137.05,0.57,40.1,255.24,201.95,267.05,94.89,495.64,12.67,126.83,175.34,0.01,222.2,0.01,0.01,0.01,0,5.11,4.74,319.9,379.75,51.52,45.19
"120",0.33,0.08,0.5,13.09,16.1,62.6,1.3,1.44,503749.92,3159.52,64.64,38.34,0.09,133180.7,151873.64,0.04,506.47,218.56,659.48,22.64,17.55,62.55,0,234.18,110.79,308.67,12.92,23.56,337.92,57.69,948.05,144.21,122.46,580.7,753.25,90.26,249.39,98.56,189.56,211.71,125.57
"121",60.74,230.22,30877.21,1718.72,28.18,36156.72,7099.1,6150.68,778930.44,4507.21,15410.17,6623.58,116.68,157427.88,181529.76,94.45,1157.08,285.04,445.09,11.1,181.14,8.45,112.97,252.97,193.36,705.81,365.57,332.11,740.25,165.34,631.7,134.76,77.19,435.22,1081.9,89.01,158.69,732.87,2387.52,68.53,203.7
"122",0.21,0.05,57.52,0.03,0.05,20.19,6.5,6.25,79304.2,1059.59,14.69,9.29,3.51,9066.63,15473.41,0.22,300.83,210.91,215.35,15.02,31.11,0,0,6.95,158.94,158.39,26.85,0.01,243.24,90.4,840.3,294.12,54.36,22.8,149.73,30.13,12.31,37.52,0,39.72,81.81
"123",404.96,1271.05,392406.57,467.96,239.47,33868.22,111432.47,133369.22,514927.2,1630.29,7812.39,11920.46,2337.54,148175.83,128735.56,80.58,360.13,300.93,143.07,0.16,174.49,2067.06,978.21,115.68,9.25,163.82,510.66,319.67,43.69,0.01,18.78,0.01,0.01,25.92,62.01,0.01,54.9,840.75,974.11,0.01,177.08
"124",408.85,312.25,188404.58,104.27,204.23,9075.47,16442.26,61464.18,806173.7,2181.41,7269.74,4697.18,1784.08,264751.45,217663.8,48.78,673.74,765.11,462.66,0.02,145.77,272.05,117.97,241.51,144.25,553.96,304.08,233.19,280.58,58.16,287.68,38.29,6.81,105.43,432.06,0.01,15.53,1003.54,1168.99,193.41,211.59
"125",0.02,0.09,26.56,6.68,9.35,91.26,4.69,3.31,788927.27,4997.55,113.23,33.26,0.03,216408.38,213923.12,0.11,1635.71,2203.73,2281.82,568.31,32.78,1513.69,22.88,106.11,288.7,118.79,0.01,0.01,337.48,91.96,473.62,123.95,183.94,1115.7,1905.33,121.67,513.12,198.43,284.8,210.26,851.32
"126",124.43,71.97,72606.37,109.64,332.48,12838.21,5009.92,30951.61,1036299,4059.91,10145.09,6940.26,989.61,307607.34,279666.9,108.39,642.52,1648.55,903.55,35.44,229.35,2960.76,3116.9,345.82,162.1,577.19,361.67,331.22,279.66,24.7,266.06,19.74,9.48,80.91,271.28,49.2,239.53,1474.54,1736.92,579.53,577.33
"127",344.78,462.69,181175.4,202.97,285.08,14621.76,32391.56,67682.74,994540.9,2910.33,10865.53,6987.92,2124,286706.05,260184.99,121.01,201.86,1114.96,508.18,0.01,219.26,184.21,95.3,388.32,264.23,559.21,460.89,362.83,565.41,132.98,611.27,118.09,53.45,120.77,422.13,97.86,158.5,1287.84,1639.56,385.46,378.91
"128",0.09,7.08,1846.78,25.94,7.79,1359.36,280.74,317.03,539480.84,3367.07,1288.15,704.54,0.03,135451.89,128120.45,2.97,833.82,118.52,568.96,25.8,66.66,0,0,55.37,86.64,155.04,51.02,117.26,245.62,22.3,316.76,14.03,169.32,261.06,454.87,30.7,191.46,261.93,483.35,35.38,31.63
"129",372.69,964.65,253414.13,190.21,140.1,5803.02,60432.3,76377.44,1186755.85,6117.67,4340.74,4961.95,1170.97,349883.11,400452.97,33.62,1730.24,353.4,353.65,45.69,293.23,14.62,173.6,177.57,160.79,427.42,725.71,499.7,357.7,89.92,386.83,136.27,66.16,617.35,1139.21,263.44,90.36,1343.7,1626.63,53.15,253.33
"130",94.46,3972.42,629703.29,341.73,0.08,651038.39,422917.29,712.56,72346.2,334.76,13733.79,11.66,44.25,22291.66,31.83,0.05,0.02,30.79,0.12,0.92,20.08,0,0,507.33,0.01,383.74,30.81,243.59,54.38,0.01,19.41,0.01,0.01,0.01,0,0.01,0.01,183.72,360.72,0.01,0.01
"131",0.59,125.94,4293.61,16.17,0.03,3739.64,854.83,1.44,357773.76,1025.42,1821.85,16.6,0.08,76380.38,137.26,0.08,0.05,425.72,183.45,5.87,0.01,26.62,205.9,42.32,5.99,317.07,22.64,154.83,17.95,17,0,0.01,0.01,0.01,0,0.01,0.01,112.14,588.93,64.83,15.07
"132",187.83,6723.01,300843.88,125.66,7.95,18960.1,236034.2,507.64,848717.16,2456.92,16071.55,9.6,41.82,250759.76,348.28,0.14,54.95,1619.53,2014.69,542.33,76.12,1215.51,26.6,163.79,197.8,842.73,86.06,207.5,268.49,220.85,80.92,112.82,307.39,228.32,1010.44,0.01,54.67,549.5,384.76,307.36,58.55
"133",152.23,7368.16,1064231.46,19663.6,3.42,1326192.34,720165.72,1418.08,308406.65,764.28,1354751.47,2770.03,152.8,150159.54,1848.07,17.66,4279.78,105.08,6.86,0.48,28.94,21.87,195.62,77.31,0.01,282.71,13.71,199.06,23.4,0.01,0,0.01,0.01,0.01,0,0.01,0.01,189.86,223.55,0.01,0.01
"134",127.9,5972.47,748735.56,18654.96,2.02,1053410.76,455761.88,1269.07,287304.73,721.79,1369636.95,1393.27,88.58,158036.86,49.85,0.49,0.06,411.23,57.18,10.38,36.96,26.99,193.37,203.24,10.67,743.76,17.73,192.75,20.71,0.01,0,4.59,11.82,4.6,23.42,6.24,0.01,208.13,260.58,0.01,0.01
"135",146.29,4443.41,350688.95,1296.24,6.23,192918.96,149118.29,319.72,656516.67,2794.77,70004.47,53.33,30.3,205992.07,430.65,0.06,227.7,1817.39,571.08,86.15,10.37,4699.33,6238.94,62.3,7.08,492.29,78.24,109.26,8.18,5.59,0,0.01,74.19,208.64,187.16,0.01,6.18,189.32,333.67,16.77,89.11
"136",63.1,3305.55,375811.79,13897.43,0.37,671884.55,303272.93,497.56,62984.54,274.95,1420595.53,1177.87,51.17,31118.78,91.5,10.93,26.3,5.34,0.26,0.7,16.11,461.88,293.47,79.46,0.01,203.89,24.92,85.12,0,0.01,0,0.01,0.01,0.01,0,0.01,0.01,142.07,184.53,0.01,0.01
"137",14.55,5.07,3531.26,3.75,0.05,3462.28,322.69,0.37,254217.08,319.77,979.53,4.28,0.04,25843.51,27.47,0.27,0.09,255.97,108.79,0.75,0.01,0,26.78,0.01,0.01,59.21,16.19,133.94,10.47,21.08,0,23.92,0.01,0.01,0,10.46,0.01,34.67,271.34,24.23,6.38
"138",75.06,1788.39,42511.15,34.72,8.3,2321.18,10753.33,18.71,264815.62,910.31,1594.84,9.7,0.01,32928.57,58.09,0.07,0.07,25.49,0.8,0.64,7.35,0,0,0.01,0.01,68.43,7.2,63.19,0,0.01,0,6.38,0.01,0.01,0,10.34,0.01,39.96,265.83,0.01,0.01
"139",168.9,4849.79,71002.7,254.48,54.03,17397.26,54286.16,141.16,1215833.29,5416.87,18315.18,40.17,95.82,434477.93,641.79,0.34,0.04,1238.07,580.15,33.54,46.76,4289.29,4278.41,228.28,70.3,1247.9,67.95,159.39,183.28,77.04,15.73,22.81,45.29,201.57,449.95,6.51,32.36,646.22,2047.41,92.83,130.24
"140",34.57,706.67,15577.35,20.88,0.41,820.9,6640.99,10.97,55785.02,284.44,720.61,6.64,3.19,5999.54,0.02,0.03,8940.34,11.45,0.18,0.41,0.01,0,0,0.01,0.01,26.37,37.58,10.79,9.67,14.95,8,0.01,0.01,0.01,0,0.01,0.01,12.18,108.1,0.01,0.01
"141",69.24,1707.2,27936.06,368.21,5.46,14033.52,10993.29,1329.84,340765.44,1472.88,17017.25,2818.74,42.82,140049.24,6332.11,11.03,141.37,271.79,74.3,0.18,0.01,152.51,262.96,73.69,0.01,156.68,61.28,43.16,16.96,5.09,7.29,0.01,0.01,0.01,0,0.01,5.46,156.6,367.68,48.7,0.01
"142",48.74,437.47,10978.43,50.66,12.79,14424.51,2572.89,7.45,743497.85,1574.4,7895.39,12.05,2.81,175398.37,93.02,0.07,6114.15,602.62,219.76,23.44,0.01,826.02,2411.78,108.04,34.87,586.97,30.03,132.77,60.81,37.38,8.21,0.01,0.01,5.23,54.91,0.01,7.96,378.24,1098.08,0.01,27.77
"143",36.06,26.74,734.88,26.51,2.44,601.74,286.99,92.19,156459.16,1030.04,444.4,126.9,22.5,29397.17,2.73,0.29,0.07,280.91,314.77,50.4,0.01,47.62,0,0.01,19.46,121.16,9.42,0.01,139.4,101.24,50.24,202.48,7.6,0.01,6.31,0.01,9.92,57.4,0,72.22,51.5
"144",30.69,55.43,3070.82,127.23,43.33,5157.3,1008.09,393.1,299141.19,3173.95,3890.87,1062.02,3.88,27987.09,28863.65,3.77,561.84,382.65,146.2,0.64,10.7,211.65,181.67,64.7,7,156.27,7.72,7.23,26.03,7.65,61.53,6.56,0.01,13.6,89.01,7.99,13.42,255.67,654.6,49.55,42.08
"145",2.28,62.95,2619.07,436.22,2.74,10646.41,446.16,519.81,865022.6,12990.55,7001.89,4424.35,0.07,197108.44,195390.54,15.46,554.11,2822.32,735.69,42.68,43,1425.78,120.9,187.9,126.53,193.93,10.51,0.01,207.04,68.71,318.75,139.85,46.32,620.83,1889.76,227.8,49,479.12,495.98,99.88,451.99
"146",1750.61,41794.72,1025733.34,316264.27,158.06,3233338.22,638144.5,490746.11,43882.62,3168.71,4516903.17,3595520.33,23590.09,72170.52,39647.98,3678.56,1146.36,113.04,34.18,0.74,1146.2,2847.43,324.37,360.64,44.96,417.7,868.83,352.3,54.39,0.01,0,0.01,0.01,725.04,575.49,53.09,7.49,4378.68,4654.41,0.01,123.77
"147",6.65,174.97,16575.32,1011.8,52.96,29637.76,9727.53,147.83,909620.17,23567.14,44129.96,10935.71,4.02,447668.36,348222.97,51.95,1412.74,2190.94,793.18,60.68,53.85,724.56,102.88,953.97,84.03,794.96,47.34,15.58,176.26,6.53,28.48,0.01,10.28,511.38,307.31,88.32,319.91,1209.39,912.85,991.09,1535.29
"148",0.12,0.03,5.64,69.88,28.55,1398.6,0.75,0.19,286342.17,6966.2,1389.71,699.47,0.02,75918.62,70444.63,6.14,458.97,381.54,124.57,0.7,22.9,84.89,0,471.83,171.27,519.29,61.1,0.01,662.62,67.68,444.79,28.64,0.01,7.66,9.3,23.82,39.99,237.42,462.73,107.72,152.75
"149",3.21,75.92,2442.75,1243.71,202.24,19262.11,1061.63,1008.55,1224122.66,29710.56,39356.43,18377.09,3.78,527233.69,449940.81,170.04,2729.34,504.01,526.19,62.18,216.83,144.82,411.21,354.44,190.25,445.95,113.42,74.97,973.89,101.3,499.38,32.91,31.14,141.29,158.18,100.97,31.55,1677.23,1752.07,232.43,478.26
"150",44.89,388.76,9731.57,855.13,59.09,17819.21,3816.61,3827.68,1161622.24,25402.38,28257.65,14439.1,38.34,439124.99,421910.83,86.39,2571.04,1250.63,388.3,15.9,77.1,736.13,503.9,204.88,26.41,443.75,118.69,14.94,422.86,38.45,301.35,16.24,12.19,320.37,313.56,77.82,160.06,1066.68,1405.86,146.45,778.89
"151",15.21,28.78,1195.3,46.55,26.93,2334.88,136.35,119.66,328446.57,2793.49,877.33,503.36,0.08,31170.13,36101.07,0.35,221.68,741.88,215.7,8.11,0.01,1011.51,884.11,226.51,39.34,310.6,1671.73,13.63,56,0.01,60.86,0.01,7.75,37.5,183.19,9.34,61.72,171.82,342.64,123.42,194.14
"152",13.61,0.09,0.03,0.04,0.04,2.67,0.61,0.04,250.79,367.66,0.01,0.09,1.9,95.44,32140.5,0.09,0.02,25.43,0.53,0.54,0.01,0,0,0.01,0.01,0,70.56,6.79,0,0.01,109.58,64.26,0.01,0.01,0,0.01,0.01,0,0,12.35,0.01
"153",0.26,0.07,87.73,2.43,10.16,114.87,32.24,23.11,42159.22,556.13,60.8,53.72,0.06,5461.54,18793.93,0.14,281.79,67.85,0.68,0.67,0.01,0,0,0.01,0.01,0,71.47,12.43,0,0.01,44.74,0.01,0.01,0.01,0,0.01,0.01,0,0,0.01,0.01
"154",10.88,0.06,1.85,0.01,0.28,99.64,0.89,5.81,106678.65,5499.82,73.54,19.57,5.92,11958.82,30358.73,0.23,204.04,100.1,63.29,6.66,0.01,0,0,0.01,0.01,0,17.39,6.12,0,0.01,328.26,165.57,16.5,19.02,15.24,17.52,0.01,10.68,0,0.01,0.01
"155",180.29,818.67,37288.04,1147.12,288.1,54996.07,14688.92,11480.17,1357104.14,21743.64,47567.24,26126.58,1804.06,590823.02,447217.13,132.23,1590.39,1721.57,688.6,97.96,94.07,3703.05,4103.9,495.18,161,523.7,251.79,99.93,258.97,66.57,245.33,83.14,40.05,200.6,634.09,59.07,192.64,2062.07,1716.9,371.52,602.71
"156",0.1,13.57,12,137.73,3.83,2894.8,2.28,5.23,478549.83,10362.23,3203.56,1712.44,0.06,183688.1,156535.04,16.63,2166.21,445.44,182.81,0.41,0.01,289.39,13.9,44.79,20.75,75.89,7.77,0.01,379.96,12,454.87,63.73,6.68,91.7,189.63,43.6,15.43,191.69,174.21,14.64,95.86
"157",11.52,0.04,12.36,250.21,41.98,3777.91,3.02,2.9,850323.24,23306.94,4865.37,2845.62,0.01,260456.57,282851.51,40.36,2306.93,318.68,219.29,41.85,7.2,106.22,4.17,46.27,213.74,112.27,34.22,0.01,1671.5,399.66,1606.15,265.86,73.8,114.11,135.25,170.3,54.22,308.29,366.91,9.58,155.9
"158",0.33,0,114.15,7.37,5.61,33.5,16.3,27.18,150793.87,6630.89,64.4,24.46,0.03,32647.84,42362.1,0.27,1772.44,86.34,96.51,0.09,7.59,0,0,21.76,142.28,69.96,20.33,0.01,784.29,106.62,1521.53,303,30.55,31.91,29.48,34.95,40.91,47.71,88.69,0.01,43.82
"159",3484.55,5518.12,1375925.01,2299.42,68.76,168713.44,222642.57,177169,795980.59,2194.09,46164.88,47827.76,2766.35,139866.21,74189.2,74,51.28,163.33,121.56,0.59,485.67,48.71,169.01,58.09,0.01,284.41,81.8,157.48,95.76,12.82,0,31.32,6.76,0.01,0,8.63,16.35,946.92,4148.81,0.01,7.16
"160",158.59,93.07,43577.5,65.42,9.84,28174.75,3415.46,3225.11,1411971.95,1551.39,4186.34,2805.48,9.08,105326.76,81969.23,4.6,20201.6,2201.83,1210.58,393.08,0.01,0,12,133.07,0.01,909.41,146.04,6.95,278.73,384.01,432.81,665.98,113.05,23.89,250.75,174.75,111.54,177.94,568.89,0.01,288.02
"161",81.04,37.4,7769.75,22.44,0.12,4746.18,647.43,631.69,728119.6,1721.84,300.55,625.86,1.91,64845.06,57229.81,0.71,98.56,880.3,707.83,8.63,20.25,55.16,54.22,17.35,0.01,298.12,16.6,0.01,17.63,0.01,217.4,226.21,91.26,20.61,166.29,19.6,8.3,79.13,27.85,80.58,49.54
"162",10.03,2.58,1918.43,30.85,0.01,12919.62,119.57,113.03,793774.08,1720.29,1307.21,1031.5,0.05,58165.39,47941.47,0.94,13.01,393.87,708.08,51.19,0.01,80.86,10.97,42.42,42.16,517.29,9.29,0.01,94.4,47.71,167.79,120.39,102.92,84.67,439.2,60.38,27.74,132.42,561.03,51.74,40.42
"163",167.6,23.26,12975.19,10.03,20.5,7667.12,618.26,463.2,635902.7,836.57,763.76,455.56,4.04,32750.23,28287.68,0.63,247.83,940.15,378.48,7.3,20.57,107.75,198.44,72.54,91.68,372.71,13.19,6.44,185.4,98.68,173.99,64.6,25.43,0.01,48.11,7.49,17.85,547.98,2264.29,69.44,30.01
"164",106.61,80.83,18504.25,51.97,5.86,9186.02,2096.05,1653.96,1179286.73,2424.64,2478.92,1276.76,10.63,111751.83,87063.41,3.92,123.81,555.44,327.47,5.39,0.01,140.88,111.21,52.1,63.43,373.1,7,0.01,195.12,64.34,187.66,87.44,52.43,17.77,112.35,33.65,6.89,109.94,578.56,132.8,65.98
"165",702.07,313.28,40985.92,817.12,5.2,43402.49,11339.13,4945.39,1218581.76,2257.26,37417.91,9031.6,77.49,103368.5,85167.99,32.03,336.82,514.95,332.96,10.29,13.93,71.12,40.4,25.26,18.72,346.95,44.74,0.01,108.5,60.83,107.33,113.1,79.47,35.94,310.09,9.33,0.01,149.89,678.15,70.32,84.5
"166",2143.05,28.99,13096.25,0.72,0.83,121.8,139.42,264.5,328136.19,1141.87,20.23,15.8,3.37,10281.49,17440.14,0.06,1023.81,214.06,89.55,0.32,131.03,0,0,0.01,44.35,285.98,38.39,0.01,246.25,174.46,295.31,257.56,8.84,8.28,63.31,0.01,6.15,27.95,523,8.75,21.54
"167",18.65,7.12,2364.96,46.98,48.95,9585.78,165.73,170.64,887238.5,2840.61,2058.9,1286.77,0.01,95430.52,83595.27,3.13,175.66,488.51,150.28,0.19,124.32,54.23,18.97,98.04,481.55,323.68,28.48,42.07,369.4,77.02,354.27,104.56,5.07,0.01,37.31,11.04,16.64,298.99,1935.67,52.83,68.43
"168",545.26,37.88,22009.4,32.59,17.99,9180.43,1306.99,1246.74,805682.09,1381.49,1818.57,1136.57,14.52,68431.4,53220.59,0.99,0.09,2170.66,898.39,19.88,169.51,239.23,66.15,102.11,11.12,600.04,10.06,10.81,35.05,6.43,109.68,133.96,159.88,44.77,269.74,0.01,22.28,295.31,1652.27,194.37,162.74
"169",31.46,24.18,6917.34,3.55,0.12,3914.88,185.01,203.91,419249.72,384.55,253.81,160.98,0.01,9191.26,9538.6,0.04,0.01,1747.56,755.48,82.88,0.01,207.36,328.87,70.93,0.01,473.2,39.67,0.01,83.99,95.87,293.91,709.94,162.2,7.49,139.19,41.68,11.84,270.12,35.26,179.1,33.04
"170",273.96,9.78,4737.46,22.95,0.09,3348.84,176.06,215.42,330124.5,256.56,393.28,302.26,10.06,3011.95,4394.78,0.01,389.76,1526.05,605.64,41.7,11.15,21.72,491.88,0.01,0.01,569.29,10.06,0.01,29.18,64.36,305.34,737.81,183.33,35.06,867.25,0.01,0.01,8.27,243.85,72.1,0.01
"171",30.42,19.14,17369.2,408.04,194.18,25701.69,924.46,1035.9,1447774.89,3807.84,7462.79,5201.89,42.99,233746.84,190350.62,91.11,734.2,187.97,186.65,0.2,451.21,0,54.44,152.1,8.92,318.38,18.64,175.81,16.48,0.01,12.71,11.57,11.72,0.01,0,11.34,70.21,1110.22,4341.61,0.01,7.79
