"","Tauro-a-Muricholic acid","Tauroursodeoxycholic acid","Taurocholic acid","Glycoursodeoxycholic acid","Glycohyodeoxycholic acid","Glycocholic acid","Taurochenodeoxycholic acid","Taurodeoxycholic acid","Cholic acid","Ursodeoxycholic acid","Glycochenodeoxycholic acid","Glycodeoxycholic acid","Taurolithocholic acid","Chenodeoxycholic acid","Deoxycholic acid","Glycolithocholic acid","Lithocholic acid","Tyrosocholic acid","Phenylalanocholic acid","Leucholic acid","Ala-triHydroxylated BA","Arg-dihydroxylated BA","Arg-triHydroxylated BA","Asn-dihydroxylated BA 1","Asn-dihydroxylated BA 2","Asn-triHydroxylated BA","Cys-dihydroxylated BA","Cys-triHydroxylated BA","Gln-dihydroxylated BA","Gln-triHydroxylated BA","Glu-dihydroxylated BA","Glu-triHydroxylated BA","His-triHydroxylated BA","Lys-dihydroxylated BA","Lys-triHydroxylated BA","Met-triHydroxylated BA","Phe-dihydroxylated BA","Ser-dihydroxylated BA","Ser-triHydroxylated BA","Trp-triHydroxylated BA","Tyr-dihydroxylated BA"
"41",184.41,605.8,16979.64,815.41,46.47,20745,5037.76,3016.68,1331886.59,20792.84,16898.92,4885.1,92.66,331344.6,169792.27,64.55,1028.96,10507.76,5967.5,2855.27,5,308.63,464.36,465.84,249.35,580.95,2.08,8.58,376.32,307.06,380.78,258.46,1459.16,1789.17,2994.79,66.29,1193.33,1329.77,2436.19,1112.24,2342.27
"42",4460,19720.35,786362.52,102992.06,101.96,2252985.88,583440.76,141518.83,85920.54,1322.58,1862157.98,888857.19,5670.99,32520.96,10349.67,1017.73,331.71,78.89,0.61,0.89,777.88,81.47,28.77,31.08,41.84,111.92,922.19,539.14,111.58,8.92,0,0.01,0.01,0.01,0,6.98,0.01,1636.92,2858.19,0.01,0.01
"43",5455.06,20253.41,99589.72,15167.71,81.78,422078.64,72174.13,18028.94,2328.82,783.98,486336.64,121040.15,7732.08,643.49,158.13,1825.47,12230.15,0.24,0.44,0.09,1251.32,0,0,31.43,9.75,119.24,1167.07,656.11,85.09,13.97,0,0.01,0.01,0.01,0,20.64,0.01,1808.17,3643.61,0.01,0.01
"44",1667.48,8787.28,42817.9,5509.39,5.08,93639.99,29060.35,5090.97,637512,7594.2,36463.59,14062.15,583.93,176098.54,61489.58,21.63,451.4,3215.55,1377.21,326.61,47.53,374.6,7.71,23.05,42.88,96.87,135.04,76.63,86.56,13.34,19.32,17.6,28.39,157.88,427.48,6.93,10.13,933.88,1067.62,60.95,826.85
"45",46.2,16.3,4683.03,12.2,0.38,1179.27,242.67,174.31,250720.78,1223.58,296.71,111.72,0.06,27754.77,17088.21,0.01,402.67,83.3,6.27,0.35,0.01,12.85,23.44,77.73,13.79,180.88,25.26,0.01,89.21,4.68,55.94,4.93,0.01,0.01,0,0.01,0.01,31.35,117.66,0.01,0.01
"46",40.53,19.24,6589.62,12.72,0.48,1644.63,307.67,238.67,309285.95,1105.09,364.03,136.26,2.7,29672.38,17642.61,0.01,7132.76,244.91,44.93,0.56,0.01,114.89,22.93,106.99,31.76,266.65,241.68,0.01,233.24,57.35,191.73,120.43,0.01,4.05,49.03,0.01,0.01,21,110.3,0.01,7.36
"47",225.89,11.32,9578.97,32.54,0.03,4552.26,946.35,1375.5,520841.01,6006.94,2885.32,907.3,12.98,103237.58,57692.02,0.02,0.08,968.81,621.31,191.54,4.88,0,0,75.43,34.8,245.02,16.73,0.01,142.86,113.05,115.89,269.09,307.4,98.73,183.5,39.35,40.93,282.13,32.87,144.86,180.77
"48",27.8,61.4,9458.74,109.77,0.96,5335.66,771.12,614.22,739136.73,4073.48,2581.82,969.52,7.98,111288.97,65694.07,5.63,264.05,656.63,282.41,0.95,13.48,0,0,216.57,99.37,410.71,9.85,0.01,450.51,91.5,294.33,91.38,70.9,126.32,333.71,14.57,25.01,232.96,231.6,0.01,124.61
"49",13.13,41.76,740.14,0.3,0.08,43.02,206.11,203.3,85813.63,5208.67,29.52,24.98,0.99,34541.27,33754.36,0.08,647.92,429.11,315.82,86.9,0.01,40.48,0,0.01,27.03,0,84.3,0.01,40.21,85.69,250.8,111.56,127.16,53.63,118.12,93.1,30.34,84.51,0,0.01,101.11
"50",0.29,10.2,2662.53,14.22,0.01,1642.06,139.39,104.37,281225.15,1586.95,326.47,133.03,9.77,26725.87,16746.69,0.01,10988.3,239.09,56.92,0.68,0.01,15.96,8.27,0.01,0.01,64.39,155.38,6.47,10.52,10.98,25.56,27.77,0.01,0.01,0,0.01,0.01,13.86,231.19,0.01,0.01
"51",0.41,0,6.81,0.42,2.77,17.78,2.31,0.95,245602.92,8377.06,21.21,7.43,7.63,71290.4,61715.23,0.47,2301.23,33.35,93.88,29.17,0.01,0,0,0.01,12.52,0,6.79,0.01,7.93,0.01,99.99,11.16,0.01,0.01,0,17.84,15.81,6.29,6.28,0.01,11.71
"52",0.02,3.95,1.51,0.15,0.05,16.13,0.04,7.84,44011.19,4434.49,307.83,10.84,4.87,10461.59,31456.36,0.07,852.06,175.56,104.37,10.62,0.01,0,0,0.01,54.72,0,10.32,9.69,145.7,95.84,583.14,273.06,31.5,13.42,11.32,7.39,0.01,0,0,0.01,124.58
"53",20.49,18.96,2727.1,27.76,1.1,1403.96,257.47,191.07,292551.99,1566.39,533.04,248.81,4.55,26899.78,20668.52,0.08,957.97,262.64,32.95,0.16,0.01,0,0,28.15,18.46,55.63,165.21,0.01,104.87,24.68,47.86,41.94,0.01,0.01,0,6.91,0.01,55.89,196.65,0.01,6.2
"54",1004.38,1739.09,59198.62,41.13,3.06,315.49,1593.48,2318.44,377445.34,25275.24,32.66,68.61,39.47,123618.67,101690.6,0.83,2124.91,136.01,134.69,19,54.21,0,17.66,0.01,136.76,47.53,37.31,13.94,256.31,14.97,369.92,106.41,17.82,14.75,5.77,75.31,5.9,220.5,199.14,5.66,102.4
"55",0.07,10.97,933.19,12.9,1.12,556.07,75.34,60.31,245417.77,2430.63,204.34,98.37,0.04,22449.84,17393.27,0.02,249.02,339.52,86.08,0.26,0.01,65.63,0,0.01,85.47,12,76.74,0.01,487.11,225.26,256.87,99.06,0.01,6.08,5.05,11.79,0.01,96.2,10.02,0.01,8.41
"56",16.67,53.97,5731.62,69.47,0.14,2546.74,818.52,544.94,321023.9,3368.58,2157.39,736.19,10.47,75141.16,47026.96,2.25,387.08,1017.76,334.14,6.51,5.23,63.31,40.31,27.81,64.18,87.84,8.1,0.01,273.2,41.43,142.05,25.14,24.05,0.01,0,29.33,18.92,174.92,360.92,134.81,131.12
"57",0.29,0.02,5.76,0.08,0.39,18.76,0.16,7.1,294646.14,7420.12,11.48,6.82,0,110349.46,87517.72,0.02,1398.13,291.39,240.24,16.4,0.01,0,0,0.01,103.08,15.94,67.56,0.01,313.68,52.99,213.52,9.05,0.01,0.01,0,126.45,12.4,76.47,10.56,24.46,113.77
"58",0.26,0.09,222.16,375.73,7.74,6746.62,27.28,17.94,1112387.5,23727.36,14941.12,4974.85,0.04,621263.7,337625.07,165.88,5923.25,465.51,436.41,8.16,51.13,80.91,138.36,136.58,235.16,182.65,72.44,61.25,648.22,76.3,655.7,79.67,72.92,68.5,25.47,34.9,173.19,327.99,349.73,580.67,273.31
"59",34.54,262.6,9270.53,249.86,2.52,6694.46,2585.79,674.87,600622.83,12424.75,7078.73,1747.71,22.7,266786.99,161285.84,24.46,2634.02,47.2,362.39,4.99,4.38,0,9.52,10.69,26.75,12.88,14.83,0.01,212.46,25.41,244.3,62.85,10.85,9.08,37.64,22.35,30.34,81.69,20.33,135.55,17.73
"60",583.33,9794.61,553944.43,3633.35,42.78,77187.82,243640.84,100287.84,1156234.9,15553.72,37351.68,23973.3,2646.36,340998.31,119017.66,371.85,246.89,1140.58,375.64,34.61,110.92,4374.1,3183.5,102.16,34.74,676.12,178.88,78.73,55.99,31.55,135.22,80.24,32.5,357.13,1412.34,0.01,65.78,432.3,717.74,0.01,275.61
"61",317.88,506.84,211180.44,274.85,15.89,5769.49,2745.27,13178.18,545990.28,1782.84,1345.43,601.91,146.6,29473.04,14175.21,21.34,3662.19,399.62,184.96,24.06,10.73,387.4,791.59,0.01,14.48,271.68,0.01,0.01,16.82,28.11,34.68,35.22,0.01,14.05,283.51,0.01,20.27,68.83,251.98,0.01,16.23
"62",498.71,6369.79,397911.52,1033.55,10.43,37570.81,87235.07,56662.04,1027600.58,12454.05,12545.34,6338.17,1197.69,255089.83,92900.66,81.05,190.55,1853.58,842.18,207.55,114.86,1213.49,3904.81,0.01,58.63,317.34,140.97,20.31,147.48,114.87,139.22,150.55,158.27,700.34,2944.81,0.01,87.89,490.67,681.72,125.58,292.28
